Precio,Ubicación,Descripción,Latitud,Longitud,Mantenimiento,Zona,Ubicación_ID,m²,Recámaras,Baños,Estacionamiento
28000,Monterrey,"Casa en Renta de 3 Niveles al sur de Monterrey Col Villa las Fuentes. Área de terreno 110 y Construcción 220. Casa amueblada y equipada. Primer nivel: Area social, sala, comedor y cocina integral equipada. Planta alta Recámara principal con walking closet, estancia con balcón y closet para blancos y un baño completo. Planta baja ( sótano) Tecsmara secundaria con baño completo. Habitación extra que no está amueblada ni equipada y puede usarse como área de estudio, oficina, gimnasio. Lavandería techada y patio. No se aceptan mascotas y no niños. Se renta por 6 meses con opción a un año",25.6127488,-100.2642188,0,Villa Las Fuentes,101.0,110,2,2,2
35000,Monterrey,"Casa en Renta en Bosques de las Cumbres 330 m2 Construcción171 m2 TerrenoPlanta BajaCochera para dos carros, bodega y área de boiler. Recibidor, Sala, Comedor, Cocina equipada. Lavandería y pasillo de servicio. Segunda PlantaEstancia, closet de blancos, sinkRecamara principal con baño vestidor. Recamara secundaria con baño vestidorRecamara secundaria con baño vestidor. Sótano4ta Recamara con baño completo, area de bodega o puede ser closet tambien, muy, Cuarto de servicio con baño, escalera para acceder a cochera. equipamiento: boiler de gas tipo deposito. tinaco de 1100 litros. 5 placas de marmol Y espejos en baños. 3 vestidores con cajoneras, zapateras, estantes Y maleteros. cocina integral con placa de cuarzo Y acabados de alto brillo en muebles. superiores, estufa de gas silver Y campana decorativa de acero inoxidable. estanteria en closet de blancos Y sink. 5 climas inverter en las tres recamaras, en la suite Y en el area de sala-comedor. ventajas: excelente ubicación cerca de centros comerciales Y escuelas. colonia segura con vigilancia privada Y publica las 24 horas. dos convenientes accesos al sector.",25.7275882,-100.3992364,800,Bosques de las Cumbres,101.0,175,4,5,2
15000,Apodaca,"Distrbucion. * Sala. * Comedor. * 3 Recamaras. * Cocina Integral. * Estancia. * 3 Baños completos en P. A. * 1 Medio baño en P. B. * Patio con piso. * 2 Lugares de estacionamiento techados. * Portón manual. caracteristicas: * Superficie: 134 m2. * Construcción: 192 m2. * Edad: 15 años aprox. * Mantenimiento incluido en renta. *Control de Acceso a la Colonia. equipamiento de la casa: * Boiler. * Tinaco. * Sala (2 sillones) * Comedor (mesa y 6 sillas) * Cocina integral. * Estufa. * Refrigerador. * Microondas. * 6 abanicos de techo. * 2 minisplits (en 2 de las recamaras) * 4 camas individuales con colchones nuevos. * Persianas y cortinas. * Closets. contratos de: * Luz. * Agua. * Gas natural. estatus del inmueble: *Inmueble Desocupado. *Inmueble Usado. forma de pago: * Transferencia o Depósito Bancario. * 1 Mes anticipado. * 2 Meses deposito en garantía. * Póliza Jurídica. servicios de la zona: * Agua. * cfe. * Drenaje. * Servicios Municipales. * Gas natural. * Colonia Privada. * Vialidades cercanas: Ave. Salinas de Gortari y Antiguo Camino al Mezquital. * A 7. 3 Km del centro de Apodaca. * A 14 Km del Aeropuerto Internacional. * Entorno zona La Fe, Escuelas y Centros Comerciales. Entorno. * Habitacional. * Áreas Verdes. informacion profeco: Contrato de Adhesión de Intermediación para la compraventa de inmuebles. Registrado en la Procuraduría Federal del Consumidor (profeco). Número Ver datos, de fecha 08 de mayo del 2023. Precios sujetos a cambios sin previo aviso. Araceli Garza 81 Ver datos",25.7531156,-100.2322963,0,Cerradas de Santa Rosa,107.0,134,3,3,2
30000,Monterrey,"Casa en Renta en Lomas del Vergel de 4 Niveles. Gran distribución. Frente a esquinas. Vistas panorámicas permanentes. Jardineras. Con doble terraza y muchas areas de aprovechamiento. Cochera doble. Entrada con Jardineras. Recibidor doble altura. Sala comedor y cocina en concepto de espacio abierto, con vistas panorámicas de la Sierra Madre, un lugar ideal para disfrutar el cafe en las mañanas y las comidas con la familia. Cocina con cubierta de granito. En Planta Alta tenemos la estancia familiar, 2 recamaras secundarias con baño y closet cada una, con vistas de la Sierra Madre, la Recamara principal de gran tamaño con el baño y vestidor, asi como balcón y vistas a la reserva de La Silla. En tercer nivel contamos con un salon de juegos, baño completo, lavandería y doble terraza, una a la Sierra Madre y otra a la Reserva. Un gran sótano con muchas posibilidades y gran tamaño. Agenda una cita para conocer estas magnificas propiedades. Nuestros expertos están listos para brindarte una asesoría profesional. Angelica Treviño y Asociados",25.5957051,-100.248102,0,Lomas del Vergel,101.0,150,3,4,2
45000,Monterrey,"Casa de 2 plantas en fraccionamiento privado a 1 cuadra de parque. Cochera doble techada, recibidor, 1/2 baño de visitas, sala comedor con vista al jardín, cocina integral con cubierta de granito con isla, parrilla, horno y microondas, 1 recámara o estudio con baño completo, jardín de 70m2 con área asador y barra. P. A. Estancia familiar, 3 recámaras cada una con baño-vestidor. Equipada con 4 minisplit. Tg",25.5707342,-100.229763,0,Fraccionamiento Catujanes,101.0,302,4,4,2
9000,Apodaca,"Rento. Casa semi-equipada de dos niveles. en Fracc Privado 24/7, Tranquilo y Seguro. Col. Jacarandas, en el Municipio de Apodaca; a unos pasos de Av. Julian treviño y a unos min de. sams / soriana huinala y Av. Miguel aleman. 2 Habitaciónes + 1. 5 Baños. Area de Sala & Comedor + Cocina+ Lavanderia Techada + Pasillo Lateral + Patio. Cochera Abierta (1Espacio) Incluye: 2minisplits | cocina equipada | estufa | campana | closet| abanico de techo | persianas | protectores | boiler | tinaco. - Contáctame vía WhatsApp para más Detalles, Requisitos & Citas! -",25.7491763,-100.1864346,250,Jacarandas,107.0,75,2,1,1
60000,Monterrey,"Residencia en Renta con acabados de lujo en Frac. Privada en Las Colinas en 2 niveles, con amplios espacios y mucha luz natural, cuenta con paneles solares, recibidor doble altura, amplia área social, bar, estudio, cocina equipada con antecomedor, terraza con asador, muro llorón, lavandería, cuarto de servicio, cochera para 2 autos, 3 recamaras amplias con sus baños y vestidores, estancia de tv, una de las recamaras secundarias cuenta con una terraza. Precio de Renta $60, 000 ya con mantenimiento incluido. Remodelada hace 5 años. Terreno 276 m2. Construcción 380 m2. — Distribución— Planta Baja: * Recibidor doble altura. * 1/2 Baño de visitas. * Sala - comedor con salida a la terraza. * Bar con 2 enfriadores de vino. * Oficina. * Amplia cocina equipada con antecomedor, con salida a la terraza. (Cuenta con antecomedor opcional) * Terraza techada equipada con una mesa, asador, abanico, jardín vertical y muro llorón. * Lavandería equipada con Lavadora y Secadora. * Cuarto de servicio. * Cochera para 2 autos. Planta Alta: * Estancia tv. * Amplia Recamara principal con baño vestidor. (Cuenta con recamara opcional) * 2 Recamaras secundarias con baño y vestidor, y una recamara con terraza. (Una recamara cuenta con cama opcional) Equipada: Con climas centrales y minisplit. Paneles Solares. Persianas. Boilers. Lavadora y Secadora. Refrigerador.",25.6863582,-100.3761083,0,Colinas de San Jerónimo,101.0,276,3,4,2
85000,San Pedro Garza García,"Casa amueblada en renta, Col. Sta. Engracia, excelente ubicación, salida rápida a las Avenidas Vasconcelos y Ricardo Margain. Muy cerca de exclusivos Colegios, Centros Comerciales y Restaurantes de San Pedro. Una sola planta. Recibidor, sala comedor con terraza al jardín, cocina nueva, con cubierta de granito, equipada con parrilla de inducción, campana, horno microondas y refrigerador duplex, antecomedor, cuarto de servicio con baño, lavandería con lava secadora. Dos recámaras con baño, la principal con closet vestidor y la secundaria con closet. Estancia familiar, dos medios baños (área social y área de jardín), cochera para 3 autos (con portón). Todos los equipos son nuevos Lavabos con cubierta de granito. Cisterna con purificador de agua. Conócela! Loc Id Ver datos. La disponibilidad de cada inmueble está sujeta a cambio sin previo aviso.",25.6563235,-100.3511929,0,Santa Engracia,102.0,304,2,3,3
53000,Monterrey,"Casa de una planta, recien remodelada, cochera para 4 autos, recibidor, amplia cocina con antecomedor, sala comedor, 3 recamaras cada una con baño Y closet, sala de tv, amplio patio con terraza techada Y asador, lavanderia Y cuarto de servicio. Casa automatizada, manejala dese tu celular. Carpinteria de primera en toda la casa. Cuarto de servicio. Jardines en el frente y el patio. Doorbell camera conectada al celular. ** no se aceptan mascotas ** **no estudiantes** excelente ubicacion. angelica treviño Y asociados. Ver datos / Ver datos",25.6351699,-100.2782412,0,Contry,101.0,400,3,4,4
18000,García,"Casa en renta cumbres san patricio, sector santa cecilia, hermosas áreas comunes, sector privado, vigilancia 24/7, casa club, palapa con azadores, juegos infantiles, cancha de fútbol. Primera planta: portón eléctrico, cochera techada para dos vehículos, puerta de seguridad, sala, comedor, miniplit inverter, cocina integral, lavandera techada, patio trasero. Segunda planta: estancia de tv., tres recamaras, recamara principal con baño vestidor, miniplit inverter, dos recamaras secundarias comparten baño, una con miniplit inverter la otra con abanico de techo, cortinas en todas las áreas. Disponible 01 de septiembre",25.7593859,-100.4333344,0,Cumbres San Patricio,108.0,133,3,2,2
